angleToTrackAxis,trackPosition,11Sensor,rxSensor,ctrSensor,sxSensor,7Sensor,xSpeed,ySpeed,class
0.012497,0.005255,0.269622,0.453330,1.000000,0.370813,0.131950,0.548267,0.000045,1
0.012564,0.004732,0.260132,0.437073,1.000000,0.413476,0.146710,0.564186,0.000099,1
0.012467,0.004191,0.250927,0.422023,1.000000,0.453073,0.161420,0.580557,-0.000103,1
0.012493,0.003634,0.240994,0.405211,1.000000,0.497325,0.176994,0.597638,-0.000149,1
0.012417,0.003061,0.231122,0.388913,1.000000,0.539410,0.192584,0.615010,-0.000166,1
0.012501,0.002478,0.220528,0.370767,1.000000,0.587985,0.209185,0.633029,0.000122,1
0.012491,0.001877,0.209940,0.353005,1.000000,0.634515,0.225841,0.652367,0.000068,1
0.005232,0.001388,0.224988,0.412540,1.000000,0.456332,0.205127,0.672190,-0.003856,1
0.006222,0.001071,0.215264,0.389425,1.000000,0.494817,0.216910,0.693510,0.000082,1
0.005988,0.000749,0.209794,0.380717,1.000000,0.507155,0.223672,0.706024,-0.000043,1
0.006080,0.000426,0.203186,0.368271,1.000000,0.527090,0.231913,0.720986,0.000038,1
0.005935,0.000099,0.197261,0.358231,1.000000,0.541510,0.239152,0.738167,0.000066,1
-0.005130,-0.000081,0.235783,0.523225,0.868565,0.366322,0.199498,0.755019,-0.006814,1
-0.005737,0.000191,0.245179,0.552355,0.792935,0.350003,0.192213,0.757881,-0.000191,0
-0.005846,0.000539,0.254104,1.000000,0.719065,0.336492,0.185067,0.751295,-0.000098,0
-0.005868,0.000868,0.262148,1.000000,0.651630,0.324584,0.178572,0.744919,-0.000025,0
0.000819,0.001141,0.237133,1.000000,0.656825,0.392724,0.194147,0.737910,0.003422,4
0.007718,0.000866,0.206344,0.371236,0.681235,0.433220,0.228776,0.720586,0.000475,3
0.007726,0.000458,0.198579,1.000000,0.617790,0.393030,0.239025,0.692871,-0.000009,3
0.007696,0.000064,0.191186,1.000000,0.556450,0.354094,0.245884,0.667243,0.000004,0
0.007770,-0.000318,0.185804,1.000000,0.498113,0.316787,0.231352,0.645662,0.000029,3
0.007774,-0.000687,0.368378,1.000000,0.441361,0.280684,0.206927,0.618405,0.000023,3
0.008927,-0.001047,0.610480,0.966655,0.396544,0.249885,0.183439,0.598538,-0.000375,4
0.024322,-0.001743,0.296120,0.831865,0.545195,0.283891,0.192904,0.591586,0.003534,4
0.005978,-0.002342,0.213739,0.643155,0.847195,0.360013,0.217618,0.584748,0.003593,0
-0.013626,-0.001978,0.229032,0.622600,0.792905,0.346302,0.208306,0.578424,0.000107,0
-0.013652,-0.001387,0.246069,0.595135,0.741340,0.328998,0.197948,0.572138,0.000082,4
0.001075,-0.001041,0.189843,0.371162,0.629100,0.732880,0.243086,0.565681,0.003294,0
0.004149,-0.001153,0.177926,0.331336,0.564705,0.666600,0.260094,0.559500,0.000644,0
0.004102,-0.001310,0.174904,0.325935,0.515065,0.610390,0.263517,0.553495,0.000788,0
0.004048,-0.001456,0.172110,0.320982,0.466031,0.554550,0.266652,0.547500,0.001082,0
0.003952,-0.001591,0.169656,0.306707,0.417711,0.499150,0.269302,0.541629,0.001298,0
0.003693,-0.001713,0.167915,0.280961,0.370389,0.444424,0.509870,0.536657,0.001491,1
0.003475,-0.001817,0.166416,0.250612,0.323345,0.389735,0.451221,0.531729,0.001827,0
0.003327,-0.001907,0.160724,0.217818,0.276591,0.335060,0.392041,0.526152,0.002030,0
0.002181,-0.001985,0.142809,0.182809,0.228782,0.278482,0.329904,0.520381,0.002683,2
-0.011964,-0.001801,0.136910,0.169568,0.208433,0.252185,0.299136,0.516067,-0.000147,2
-0.021927,-0.001052,0.124772,0.151372,0.183982,0.222130,0.264664,0.511924,0.000110,2
0.009869,-0.000719,0.103930,0.124203,0.149955,0.181576,0.218719,0.507452,0.001419,2
0.036492,-0.001592,0.082196,0.097550,0.117718,0.143685,0.175906,0.502310,0.000759,2
0.060541,-0.003396,0.058553,0.069321,0.084014,0.104048,0.130756,0.496657,0.000785,2
0.056579,-0.005790,0.040373,0.049149,0.061971,0.080933,0.108299,0.488852,-0.005572,2
-0.000991,-0.007446,0.042717,0.059567,0.086820,0.126295,0.175398,0.470230,-0.043421,2
-0.074406,-0.007756,0.105831,0.152877,0.206832,0.263727,0.321157,0.439309,-0.087748,0
-0.127336,-0.006637,0.212854,0.266786,0.321921,0.376666,0.429918,0.414062,-0.091122,0
-0.159823,-0.004031,0.292571,0.343420,0.394233,0.128551,0.099720,0.398864,-0.058487,4
